country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Malaysia,13.0,4.0,0.0,0.3
Mali,5.0,1.0,1.0,0.6
Malta,149.0,100.0,120.0,6.6
Mauritius,98.0,31.0,18.0,2.6
Mexico,238.0,68.0,5.0,5.5
Micronesia,62.0,50.0,18.0,2.3
Moldova,109.0,226.0,18.0,6.3
Mongolia,77.0,189.0,8.0,4.9
Montenegro,31.0,114.0,128.0,4.9
Morocco,12.0,6.0,10.0,0.5
Mozambique,47.0,18.0,5.0,1.3
Myanmar,5.0,1.0,0.0,0.1
Namibia,376.0,3.0,1.0,6.8
Nauru,49.0,0.0,8.0,1.0
Nepal,5.0,6.0,0.0,0.2
Netherlands,251.0,88.0,190.0,9.4
New Zealand,203.0,79.0,175.0,9.3
Nicaragua,78.0,118.0,1.0,3.5
Niger,3.0,2.0,1.0,0.1
Nigeria,42.0,5.0,2.0,9.1
Niue,188.0,200.0,7.0,7.0
Norway,169.0,71.0,129.0,6.7
Oman,22.0,16.0,1.0,0.7
Palau,306.0,63.0,23.0,6.9
Panama,285.0,104.0,18.0,7.2
Papua New Guinea,44.0,39.0,1.0,1.5
Paraguay,213.0,117.0,74.0,7.3
Peru,163.0,160.0,21.0,6.1
Philippines,71.0,186.0,1.0,4.6
Poland,343.0,215.0,56.0,10.9
Portugal,194.0,67.0,339.0,11.0
Qatar,1.0,42.0,7.0,0.9
Romania,297.0,122.0,167.0,10.4
Russian Federation,247.0,326.0,73.0,11.5
Rwanda,43.0,2.0,0.0,6.8
Samoa,105.0,18.0,24.0,2.6
Sao Tome & Principe,56.0,38.0,140.0,4.2
Saudi Arabia,0.0,5.0,0.0,0.1
Senegal,9.0,1.0,7.0,0.3
Serbia,283.0,131.0,127.0,9.6
Seychelles,157.0,25.0,51.0,4.1
Sierra Leone,25.0,3.0,2.0,6.7
Singapore,60.0,12.0,11.0,1.5
Slovakia,196.0,293.0,116.0,11.4
Slovenia,270.0,51.0,276.0,10.6
Solomon Islands,56.0,11.0,1.0,1.2
South Africa,225.0,76.0,81.0,8.2
South Korea,140.0,16.0,9.0,9.8
Spain,284.0,157.0,112.0,10.0
Sri Lanka,16.0,104.0,0.0,2.2
St. Kitts & Nevis,194.0,205.0,32.0,7.7
St. Lucia,171.0,315.0,71.0,10.1
St. Vincent & the Grenadines,120.0,221.0,11.0,6.3
Sudan,8.0,13.0,0.0,1.7
Suriname,128.0,178.0,7.0,5.6
Swaziland,90.0,2.0,2.0,4.7
Sweden,152.0,60.0,186.0,7.2
Switzerland,185.0,100.0,280.0,10.2
Syria,5.0,35.0,16.0,1.0
Tajikistan,2.0,15.0,0.0,0.3
Tanzania,36.0,6.0,1.0,5.7
Thailand,99.0,258.0,1.0,6.4
Timor-Leste,1.0,1.0,4.0,0.1
Togo,36.0,2.0,19.0,1.3
Tonga,36.0,21.0,5.0,1.1
Trinidad & Tobago,197.0,156.0,7.0,6.4
Tunisia,51.0,3.0,20.0,1.3
Turkey,51.0,22.0,7.0,1.4
Turkmenistan,19.0,71.0,32.0,2.2
Tuvalu,6.0,41.0,9.0,1.0
USA,249.0,158.0,84.0,8.7
Uganda,45.0,9.0,0.0,8.3
Ukraine,206.0,237.0,45.0,8.9
United Arab Emirates,16.0,135.0,5.0,2.8
United Kingdom,219.0,126.0,195.0,10.4
Uruguay,115.0,35.0,220.0,6.6
Uzbekistan,25.0,101.0,8.0,2.4
Vanuatu,21.0,18.0,11.0,0.9
Venezuela,333.0,100.0,3.0,7.7
Vietnam,111.0,2.0,1.0,2.0
Yemen,6.0,0.0,0.0,0.1
Zambia,32.0,19.0,4.0,2.5
Zimbabwe,64.0,18.0,4.0,4.7
